oracID_x,tipo_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,oracID_y,oracID_orig,tipo_y,palabra_y,pred_y,logit_pred_y,nCompletadas_y
0,1,Todos,0,,,,220,0,1,Todos,,,
0,1,en,1,0.0,-1.8512583487190752,36.0,220,0,1,en,0.0,-1.8129133566428557,33.0
0,1,la,2,0.3888888888888889,-0.19629464514396824,36.0,220,0,1,la,0.3333333333333333,-0.30102999566398125,33.0
0,1,sala,3,0.1111111111111111,-0.9030899869919436,36.0,220,0,1,sala,0.030303030303030307,-1.505149978319906,33.0
0,1,cantaron:,4,0.05555555555555555,-1.230448921378274,36.0,220,0,1,cantaron:,0.0,-1.8129133566428557,33.0
0,1,Coronados,5,0.0,-1.8512583487190752,36.0,220,0,1,Coronados,0.0,-1.8129133566428557,33.0
0,1,de,6,0.6944444444444444,0.3565473235138125,36.0,220,0,1,de,0.7878787878787878,0.569875307956561,33.0
0,1,gloria,7,0.8888888888888888,0.9030899869919432,36.0,220,0,1,gloria,1.0,1.812913356642856,33.0
0,1,vivamos,8,0.8611111111111112,0.7923916894982541,36.0,220,0,1,vivamos,0.7878787878787878,0.569875307956561,33.0
1,1,Y,0,,,,221,1,1,Y,,,
1,1,finalmente,1,0.0,-1.7558748556724917,29.0,221,1,1,finalmente,0.0,-1.740362689494244,28.0
1,1,proclamó:,2,0.0,-1.7558748556724917,29.0,221,1,1,proclamó:,0.0,-1.740362689494244,28.0
1,1,Felices,3,0.0,-1.7558748556724917,29.0,221,1,1,Felices,0.0,-1.740362689494244,28.0
1,1,pascuas,4,0.03448275862068965,-1.4471580313422192,29.0,221,1,1,pascuas,0.07142857142857142,-1.113943352306837,28.0
1,1,la,5,0.4482758620689655,-0.09017663034908802,29.0,221,1,1,la,0.2857142857142857,-0.3979400086720377,28.0
1,1,casa,6,0.4482758620689655,-0.09017663034908802,29.0,221,1,1,casa,0.32142857142857145,-0.32451109151350405,28.0
1,1,está,7,0.7931034482758621,0.5835765856339493,29.0,221,1,1,está,0.75,0.4771212547196624,28.0
1,1,en,8,0.8620689655172413,0.795880017344075,29.0,221,1,1,en,0.6785714285714286,0.3245110915135042,28.0
1,1,orden,9,0.8965517241379308,0.9378520932511556,29.0,221,1,1,orden,0.6785714285714286,0.3245110915135042,28.0
2,1,Después,0,,,,222,2,1,Después,,,
2,1,de,1,0.8571428571428571,0.7781512503836434,28.0,222,2,1,de,0.8684210526315791,0.8195439355418688,38.0
2,1,ganar,2,0.0,-1.740362689494244,28.0,222,2,1,ganar,0.0,-1.8750612633917,38.0
2,1,bromeó:,3,0.0,-1.740362689494244,28.0,222,2,1,bromeó:,0.0,-1.8750612633917,38.0
2,1,A,4,0.0,-1.740362689494244,28.0,222,2,1,A,0.02631578947368421,-1.568201724066995,38.0
2,1,papá,5,0.0,-1.740362689494244,28.0,222,2,1,papá,0.0,-1.8750612633917,38.0
2,1,mono,6,0.21428571428571427,-0.5642714304385626,28.0,222,2,1,mono,0.2631578947368421,-0.4471580313422193,38.0
2,1,con,7,0.5714285714285714,0.12493873660829992,28.0,222,2,1,con,0.4736842105263158,-0.04575749056067522,38.0
2,1,bananas,8,0.6785714285714286,0.3245110915135042,28.0,222,2,1,bananas,0.5789473684210527,0.13830269816628152,38.0
2,1,verdes,9,0.7142857142857143,0.3979400086720376,28.0,222,2,1,verdes,0.6578947368421053,0.2839966563652009,38.0
3,1,Lo,0,,,,223,3,1,Lo,,,
3,1,festejó,1,0.0,-1.8750612633917,38.0,223,3,1,festejó,0.0,-1.7993405494535817,32.0
3,1,gritando:,2,0.02631578947368421,-1.568201724066995,38.0,223,3,1,gritando:,0.0625,-1.1760912590556811,32.0
3,1,De,3,0.0,-1.8750612633917,38.0,223,3,1,De,0.0,-1.7993405494535817,32.0
3,1,qué,4,0.7105263157894737,0.3899710790007623,38.0,223,3,1,qué,0.5,0.0,32.0
3,1,planeta,5,0.18421052631578946,-0.6462636538200158,38.0,223,3,1,planeta,0.25,-0.4771212547196625,32.0
3,1,viniste,6,0.4736842105263158,-0.04575749056067522,38.0,223,3,1,viniste,0.53125,0.05435766232259268,32.0
3,1,barrilete,7,0.42105263157894735,-0.13830269816628152,38.0,223,3,1,barrilete,0.53125,0.05435766232259268,32.0
3,1,cósmico,8,0.8684210526315791,0.8195439355418688,38.0,223,3,1,cósmico,0.8125,0.6368220975871743,32.0
4,1,Los,0,,,,224,4,1,Los,,,
4,1,miró,1,0.0,-1.8864907251724816,39.0,224,4,1,miró,0.0,-1.8260748027008264,34.0
4,1,y,2,0.4615384615384616,-0.06694678963061318,39.0,224,4,1,y,0.29411764705882354,-0.3802112417116059,34.0
4,1,preguntó:,3,0.02564102564102564,-1.57978359661681,39.0,224,4,1,preguntó:,0.0,-1.8260748027008264,34.0
4,1,Qué,4,0.2307692307692308,-0.5228787452803375,39.0,224,4,1,Qué,0.2058823529411765,-0.5862657241447304,34.0
4,1,gusto,5,0.0,-1.8864907251724816,39.0,224,4,1,gusto,0.0,-1.8260748027008264,34.0
4,1,tiene,6,0.7692307692307693,0.5228787452803376,39.0,224,4,1,tiene,0.5,0.0,34.0
4,1,la,7,0.8717948717948718,0.8325089127062364,39.0,224,4,1,la,0.7647058823529411,0.5118833609788742,34.0
4,1,sal,8,0.7948717948717948,0.5882717068423289,39.0,224,4,1,sal,0.7941176470588235,0.5862657241447303,34.0
5,1,Exclamó,0,,,,225,5,1,Exclamó,,,
5,1,enojado:,1,0.11428571428571427,-0.8893017025063104,35.0,225,5,1,enojado:,0.0,-1.7708520116421442,30.0
5,1,Quién,2,0.09090909090909093,-1.0,33.0,225,5,1,Quién,0.06896551724137931,-1.1303337684950059,29.0
5,1,te,3,0.0,-1.8129133566428557,33.0,225,5,1,te,0.03448275862068965,-1.4471580313422192,29.0
5,1,dio,4,0.12121212121212123,-0.8603380065709937,33.0,225,5,1,dio,0.06896551724137931,-1.1303337684950059,29.0
5,1,vela,5,0.24242424242424246,-0.494850021680094,33.0,225,5,1,vela,0.2413793103448276,-0.4973246408079494,29.0
5,1,en,6,0.7878787878787878,0.569875307956561,33.0,225,5,1,en,0.7241379310344828,0.4191293077419757,29.0
5,1,este,7,0.8484848484848485,0.7481880270062005,33.0,225,5,1,este,0.7586206896551724,0.4973246408079494,29.0
5,1,entierro,8,0.8181818181818182,0.6532125137753438,33.0,225,5,1,entierro,0.7931034482758621,0.5835765856339493,29.0
6,1,Me,0,,,,226,6,1,Me,,,
6,1,respondió,1,0.0,-1.7708520116421442,30.0,226,6,1,respondió,0.0,-1.7993405494535817,32.0
6,1,que,2,0.7586206896551724,0.4973246408079494,29.0,226,6,1,que,0.71875,0.407485326578268,32.0
6,1,a,3,0.03448275862068965,-1.4471580313422192,29.0,226,6,1,a,0.0,-1.7993405494535817,32.0
6,1,las,4,0.0,-1.7558748556724917,29.0,226,6,1,las,0.0,-1.7993405494535817,32.0
6,1,palabras,5,0.10344827586206896,-0.9378520932511556,29.0,226,6,1,palabras,0.0625,-1.1760912590556811,32.0
6,1,se,6,0.5862068965517241,0.15126767533064903,29.0,226,6,1,se,0.40625,-0.16481024864599214,32.0
6,1,las,7,0.9310344827586208,1.130333768495006,29.0,226,6,1,las,0.6875,0.3424226808222063,32.0
6,1,lleva,8,0.8275862068965517,0.6812412373755872,29.0,226,6,1,lleva,0.53125,0.05435766232259268,32.0
6,1,el,9,0.8620689655172413,0.795880017344075,29.0,226,6,1,el,0.71875,0.407485326578268,32.0
6,1,viento,10,0.9310344827586208,1.130333768495006,29.0,226,6,1,viento,0.9375,1.1760912590556811,32.0
7,1,Matías,0,,,,227,7,1,Matías,,,
7,1,recalcó,1,0.0,-1.8976270912904412,40.0,227,7,1,recalcó,0.029411764705882356,-1.5185139398778875,34.0
