id_orac_online,tipo_orac,tipo_orac_new,palabra,palNum,pred,logit_pred,nCompletadas
14,0,0,tiene,7,0.8333333333333334,0.698970004336019,12.0
14,0,0,dientes,8,0.8333333333333334,0.698970004336019,12.0
15,0,0,A,0,,,
15,0,0,palabras,1,0.08333333333333333,-1.041392685158225,12.0
15,0,0,necias,2,0.75,0.47712125471966244,12.0
15,0,0,oídos,3,1.0,1.3617278360175933,12.0
15,0,0,sordos,4,1.0,1.3617278360175933,12.0
16,0,0,Ojos,0,,,
16,0,0,que,1,0.8181818181818182,0.6532125137753438,11.0
16,0,0,no,2,0.9090909090909091,0.9999999999999998,11.0
16,0,0,ven,3,1.0,1.3222192947339197,11.0
16,0,0,corazón,4,1.0,1.3222192947339197,11.0
16,0,0,que,5,1.0,1.3222192947339197,11.0
16,0,0,no,6,0.8181818181818182,0.6532125137753438,11.0
16,0,0,siente,7,0.8181818181818182,0.6532125137753438,11.0
17,0,0,Al,0,,,
17,0,0,que,1,0.25,-0.4771212547196625,12.0
17,0,0,madruga,2,0.5,0.0,12.0
17,0,0,Dios,3,1.0,1.3617278360175933,12.0
17,0,0,lo,4,1.0,1.3617278360175933,12.0
17,0,0,ayuda,5,1.0,1.3617278360175933,12.0
18,0,0,A,0,,,
18,0,0,caballo,1,0.08333333333333333,-1.041392685158225,12.0
18,0,0,regalado,2,0.75,0.47712125471966244,12.0
18,0,0,no,3,0.9166666666666666,1.041392685158225,12.0
18,0,0,se,4,0.8333333333333334,0.698970004336019,12.0
18,0,0,le,5,0.8333333333333334,0.698970004336019,12.0
18,0,0,miran,6,0.6666666666666666,0.30102999566398114,12.0
18,0,0,los,7,0.8333333333333334,0.698970004336019,12.0
18,0,0,dientes,8,0.75,0.47712125471966244,12.0
19,0,0,Más,0,,,
19,0,0,vale,1,0.6666666666666666,0.30102999566398114,12.0
19,0,0,pájaro,2,0.5833333333333334,0.14612803567823807,12.0
19,0,0,en,3,0.8333333333333334,0.698970004336019,12.0
19,0,0,mano,4,0.8333333333333334,0.698970004336019,12.0
19,0,0,que,5,0.75,0.47712125471966244,12.0
19,0,0,cien,6,0.9166666666666666,1.041392685158225,12.0
19,0,0,volando,7,0.9166666666666666,1.041392685158225,12.0
20,0,0,Haz,0,,,
20,0,0,el,1,0.23076923076923078,-0.5228787452803375,13.0
20,0,0,bien,2,0.7692307692307693,0.5228787452803376,13.0
20,0,0,sin,3,0.8461538461538461,0.7403626894942439,13.0
20,0,0,mirar,4,0.7692307692307693,0.5228787452803376,13.0
20,0,0,a,5,0.7692307692307693,0.5228787452803376,13.0
20,0,0,quién,6,0.7692307692307693,0.5228787452803376,13.0
21,0,0,Hombre,0,,,
21,0,0,prevenido,1,0.25,-0.4771212547196625,12.0
21,0,0,vale,2,0.9166666666666666,1.041392685158225,12.0
21,0,0,por,3,1.0,1.3617278360175933,12.0
21,0,0,dos,4,1.0,1.3617278360175933,12.0
22,0,0,En,0,,,
22,0,0,boca,1,0.25,-0.4771212547196625,12.0
22,0,0,cerrada,2,0.9166666666666666,1.041392685158225,12.0
22,0,0,no,3,1.0,1.3617278360175933,12.0
22,0,0,entran,4,1.0,1.3617278360175933,12.0
22,0,0,moscas,5,1.0,1.3617278360175933,12.0
23,0,0,No,0,,,
23,0,0,por,1,0.0,-1.3617278360175928,12.0
23,0,0,mucho,2,1.0,1.3617278360175933,12.0
23,0,0,madrugar,3,1.0,1.3617278360175933,12.0
23,0,0,amanece,4,0.4166666666666667,-0.14612803567823793,12.0
23,0,0,más,5,0.5833333333333334,0.14612803567823807,12.0
23,0,0,temprano,6,0.9166666666666666,1.041392685158225,12.0
24,0,0,No,0,,,
24,0,0,dejes,1,0.08333333333333333,-1.041392685158225,12.0
24,0,0,para,2,0.5,0.0,12.0
24,0,0,mañana,3,1.0,1.3617278360175933,12.0
24,0,0,lo,4,0.9166666666666666,1.041392685158225,12.0
24,0,0,que,5,0.9166666666666666,1.041392685158225,12.0
24,0,0,puedas,6,0.5,0.0,12.0
24,0,0,hacer,7,0.9166666666666666,1.041392685158225,12.0
24,0,0,hoy,8,1.0,1.3617278360175933,12.0
25,0,0,No,0,,,
25,0,0,hay,1,0.0,-1.3617278360175928,12.0
25,0,0,mal,2,0.3333333333333333,-0.30102999566398125,12.0
25,0,0,que,3,0.9166666666666666,1.041392685158225,12.0
25,0,0,por,4,0.75,0.47712125471966244,12.0
25,0,0,bien,5,0.75,0.47712125471966244,12.0
25,0,0,no,6,1.0,1.3617278360175933,12.0
25,0,0,venga,7,0.9166666666666666,1.041392685158225,12.0
26,0,0,En,0,,,
26,0,0,el,1,0.0,-1.3617278360175928,12.0
26,0,0,país,2,0.0,-1.3617278360175928,12.0
26,0,0,de,3,0.6666666666666666,0.30102999566398114,12.0
26,0,0,los,4,0.6666666666666666,0.30102999566398114,12.0
26,0,0,ciegos,5,0.5833333333333334,0.14612803567823807,12.0
26,0,0,el,6,0.9166666666666666,1.041392685158225,12.0
