id_orac,id_orac_online,tipo_orac_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,tipo_orac_y,tipo_orac_new,palabra_y,pred_y,logit_pred_y,nCompletadas_y
11,10.0,0,Quien,0,0.111111111111111,-1.03972077083992,18,0,0,Quien,,,
11,10.0,0,mucho,1,0.111111111111111,-1.03972077083992,18,0,0,mucho,0.0,-1.3617278360175928,12.0
11,10.0,0,abarca,2,0.666666666666667,0.346573590279973,18,0,0,abarca,0.8333333333333334,0.698970004336019,12.0
11,10.0,0,poco,3,0.944444444444444,1.41660667202811,18,0,0,poco,0.8333333333333334,0.698970004336019,12.0
11,10.0,0,aprieta.,4,0.944444444444444,1.41660667202811,18,0,0,aprieta,1.0,1.3617278360175933,12.0
12,50.0,1,Aquiles,0,0.0,-1.77767403074471,18,1,1,Aquiles,,,
12,50.0,1,luchó,1,0.0,-1.77767403074471,18,1,1,luchó,0.0,-1.3617278360175928,12.0
12,50.0,1,en,2,0.166666666666667,-0.8047189562170501,18,1,1,en,0.16666666666666666,-0.6989700043360189,12.0
12,50.0,1,la,3,0.666666666666667,0.346573590279973,18,1,1,la,0.25,-0.4771212547196625,12.0
12,50.0,1,Guerra,4,0.33333333333333304,-0.346573590279973,18,1,1,Guerra,0.6666666666666666,0.30102999566398114,12.0
12,50.0,1,de,5,0.944444444444444,1.41660667202811,18,1,1,de,0.4166666666666667,-0.14612803567823793,12.0
12,50.0,1,Troya.,6,0.666666666666667,0.346573590279973,18,1,1,Troya,0.08333333333333333,-1.041392685158225,12.0
14,11.0,0,En,0,0.111111111111111,-1.03972077083992,18,0,0,En,,,
14,11.0,0,casa,1,0.0,-1.77767403074471,18,0,0,casa,0.08333333333333333,-1.041392685158225,12.0
14,11.0,0,de,2,0.444444444444444,-0.111571775657105,18,0,0,de,0.5833333333333334,0.14612803567823807,12.0
14,11.0,0,herrero,3,0.444444444444444,-0.111571775657105,18,0,0,herrero,0.75,0.4771212547196624,12.0
14,11.0,0,cuchillo,4,0.944444444444444,1.41660667202811,18,0,0,cuchillo,1.0,1.3617278360175933,12.0
14,11.0,0,de,5,1.0,1.77767403074471,18,0,0,de,1.0,1.3617278360175933,12.0
14,11.0,0,palo.,6,1.0,1.77767403074471,18,0,0,palo,1.0,1.3617278360175933,12.0
15,51.0,1,En,0,0.0,-1.77767403074471,18,1,1,En,,,
15,51.0,1,Alaska,1,0.0,-1.77767403074471,18,1,1,Alaska,0.0,-1.3617278360175928,12.0
15,51.0,1,las,2,0.0,-1.77767403074471,18,1,1,las,0.0,-1.3617278360175928,12.0
15,51.0,1,temperaturas,3,0.0555555555555556,-1.41660667202811,18,1,1,temperaturas,0.0,-1.3617278360175928,12.0
