id_text,palabra_x,palNum_x,pred_x,logit_pred_x,nCompletadas_x,palabra_y,palNum_y,palNumGobal,pred_y,logit_pred_y,nCompletadas_y
0,deje,105,0.0,-1.3222192947339193,11,Dejé,0,105,,,
0,mi,106,0.0,-1.4313637641589874,14,mi,1,106,0.02247191011235955,-1.6384892569546374,89.0
0,bicicleta,107,0.0833333333333333,-1.0413926851582251,12,bicicleta,2,107,0.0,-2.2430380486862944,88.0
0,contra,108,0.125,-0.8450980400142569,16,contra,3,108,0.011363636363636364,-1.9395192526186185,88.0
0,las,109,0.0,-1.4623979978989559,15,las,4,109,0.0,-2.2430380486862944,88.0
0,rejas,110,0.8125,0.6368220975871743,16,rejas,5,110,0.4545454545454545,-0.07918124604762483,88.0
0,y,111,0.125,-0.8450980400142569,16,y,6,111,0.18181818181818185,-0.6532125137753436,88.0
0,fui,112,0.14285714285714302,-0.7781512503836431,14,fui,7,112,0.03409090909090909,-1.4522976709946305,88.0
0,a,113,0.166666666666667,-0.6989700043360179,6,a,8,113,0.7840909090909091,0.5600954897844264,88.0
0,ver,114,0.1875,-0.6368220975871743,16,ver,9,114,0.05681818181818181,-1.2201080880400552,88.0
0,los,115,0.2,-0.6020599913279624,10,los,10,115,0.022727272727272728,-1.6334684555795866,88.0
0,tulipanes,116,0.0,-1.4313637641589874,14,tulipanes,11,116,0.03409090909090909,-1.4522976709946305,88.0
0,me,140,0.125,-0.8450980400142569,16,Me,0,140,,,
0,quede,141,0.0625,-1.1760912590556811,16,quedé,1,141,0.0,-2.2944662261615933,99.0
0,una,142,0.0,-1.5185139398778875,17,una,2,142,0.0,-2.285557309007774,97.0
0,hora,143,0.7727272727272729,0.5314789170422556,22,hora,3,143,0.1855670103092784,-0.6423545861871354,97.0
0,mirandolos,144,0.1,-0.9542425094393248,20,mirándolos,4,144,0.0,-2.285557309007774,97.0
0,y,145,0.0,-1.5185139398778875,17,y,5,145,0.09278350515463918,-0.9902401627108436,97.0
0,sali,146,0.0714285714285714,-1.113943352306837,14,salí,6,146,0.010309278350515464,-1.9822712330395684,97.0
0,incapaz,147,0.0,-1.041392685158225,6,incapaz,7,147,0.010309278350515464,-1.9822712330395684,97.0
0,de,148,0.9,0.9542425094393249,10,de,8,148,0.9690721649484536,1.4960065988800362,97.0
0,otra,149,0.0,-1.4313637641589874,14,otra,9,149,0.020618556701030927,-1.6766936096248666,97.0
0,cosa,150,0.5333333333333329,0.057991946977685976,15,cosa,10,150,0.5051546391752577,0.008954842652926412,97.0
0,el,290,0.0,-1.5185139398778875,17,El,0,290,,,
0,guardian,291,0.0,-1.6334684555795866,22,guardián,1,291,0.0,-2.1958996524092336,79.0
0,de,292,0.1,-0.9542425094393248,20,de,2,292,0.6363636363636364,0.2430380486862944,77.0
0,los,293,0.235294117647059,-0.511883360978874,17,los,3,293,0.03896103896103896,-1.3921104650113136,77.0
0,acuarios,294,0.266666666666667,-0.4393326938302619,15,acuarios,4,294,0.0,-2.184691430817599,77.0
0,sonreia,295,0.0,-1.3617278360175928,12,sonreía,5,295,0.0,-2.184691430817599,77.0
0,perplejo,296,0.0,-1.4623979978989559,15,perplejo,6,296,0.012987012987012988,-1.8808135922807916,77.0
0,al,297,0.1875,-0.6368220975871743,16,al,7,297,0.11688311688311688,-0.8782664032669114,77.0
0,recibir,298,0.0,-1.4913616938342726,16,recibir,8,298,0.025974025974025976,-1.5740312677277188,77.0
0,el,299,0.14285714285714302,-0.7781512503836431,14,el,9,299,0.12987012987012986,-0.8260748027008264,77.0
0,billete,300,0.0,-1.041392685158225,6,billete,10,300,0.025974025974025976,-1.5740312677277188,77.0
0,me,301,0.14285714285714302,-0.7781512503836431,14,Me,0,301,,,
0,apoyaba,302,0.0625,-1.1760912590556811,16,apoyaba,1,302,0.0,-2.227886704613673,85.0
0,en,303,0.5,0.0,18,en,2,303,0.5238095238095238,0.04139268515822507,84.0
0,la,304,0.4,-0.17609125905568118,10,la,3,304,0.2619047619047619,-0.4499690086760476,84.0
0,barra,305,0.0,-1.4313637641589874,14,barra,4,305,0.0,-2.2227164711475837,84.0
0,de,306,0.6,0.17609125905568115,15,de,5,306,0.4047619047619048,-0.16749108729376366,84.0
0,hierro,307,0.17647058823529396,-0.669006780958576,17,hierro,6,307,0.023809523809523808,-1.6127838567197357,84.0
0,que,308,0.0625,-1.1760912590556811,16,que,7,308,0.14285714285714285,-0.7781512503836436,84.0
0,bordea,309,0.0,-1.4313637641589874,14,bordea,8,309,0.0,-2.2227164711475837,84.0
0,los,310,0.0,-1.6720978579357175,24,los,9,310,0.011904761904761904,-1.919078092376074,84.0
0,acuarios,311,0.55,0.08715017571890027,20,acuarios,10,311,0.011904761904761904,-1.919078092376074,84.0
0,y,312,0.368421052631579,-0.23408320603336796,19,y,11,312,0.14285714285714285,-0.7781512503836436,84.0
0,me,313,0.2,-0.6020599913279624,15,me,12,313,0.25,-0.4771212547196625,84.0
0,ponia,314,0.0,-1.3222192947339193,11,ponía,13,314,0.023809523809523808,-1.6127838567197357,84.0
0,a,315,0.736842105263158,0.4471580313422194,19,a,14,315,0.4404761904761905,-0.10389613386872253,84.0
0,mirarlos,316,0.0,-1.4623979978989559,15,mirarlos,15,316,0.011904761904761904,-1.919078092376074,84.0
0,pero,1019,0.111111111111111,-0.903089986991944,9,Pero,0,1019,,,
0,una,1020,0.0,-1.2787536009528289,10,una,1,1020,0.020618556701030927,-1.6766936096248666,97.0
0,lagartija,1021,0.0,-1.3979400086720375,13,lagartija,2,1021,0.0,-2.285557309007774,97.0
