oracID,tipo,palabra,palNum,pred,logit_pred,nCompletadas
0,1,Todos,0,,,
0,1,en,1,0.0,-1.8512583487190752,36.0
0,1,la,2,0.3888888888888889,-0.19629464514396822,36.0
0,1,sala,3,0.1111111111111111,-0.9030899869919435,36.0
0,1,cantaron:,4,0.05555555555555555,-1.2304489213782739,36.0
0,1,Coronados,5,0.0,-1.8512583487190752,36.0
0,1,de,6,0.6944444444444444,0.3565473235138125,36.0
0,1,gloria,7,0.8888888888888888,0.9030899869919433,36.0
0,1,vivamos,8,0.8611111111111112,0.7923916894982541,36.0
1,1,Y,0,,,
1,1,finalmente,1,0.0,-1.7558748556724915,29.0
1,1,proclamó:,2,0.0,-1.7558748556724915,29.0
1,1,Felices,3,0.0,-1.7558748556724915,29.0
1,1,pascuas,4,0.034482758620689655,-1.4471580313422192,29.0
1,1,la,5,0.4482758620689655,-0.090176630349088,29.0
1,1,casa,6,0.4482758620689655,-0.090176630349088,29.0
1,1,está,7,0.7931034482758621,0.5835765856339493,29.0
1,1,en,8,0.8620689655172413,0.795880017344075,29.0
1,1,orden,9,0.896551724137931,0.9378520932511556,29.0
2,1,Después,0,,,
2,1,de,1,0.8571428571428571,0.7781512503836434,28.0
2,1,ganar,2,0.0,-1.7403626894942439,28.0
2,1,bromeó:,3,0.0,-1.7403626894942439,28.0
2,1,A,4,0.0,-1.7403626894942439,28.0
2,1,papá,5,0.0,-1.7403626894942439,28.0
2,1,mono,6,0.21428571428571427,-0.5642714304385626,28.0
2,1,con,7,0.5714285714285714,0.12493873660829992,28.0
2,1,bananas,8,0.6785714285714286,0.3245110915135042,28.0
2,1,verdes,9,0.7142857142857143,0.3979400086720376,28.0
3,1,Lo,0,,,
3,1,festejó,1,0.0,-1.8750612633917,38.0
3,1,gritando:,2,0.02631578947368421,-1.568201724066995,38.0
3,1,De,3,0.0,-1.8750612633917,38.0
3,1,qué,4,0.7105263157894737,0.3899710790007623,38.0
3,1,planeta,5,0.18421052631578946,-0.6462636538200158,38.0
3,1,viniste,6,0.47368421052631576,-0.04575749056067522,38.0
3,1,barrilete,7,0.42105263157894735,-0.13830269816628152,38.0
3,1,cósmico,8,0.868421052631579,0.8195439355418688,38.0
4,1,Los,0,,,
4,1,miró,1,0.0,-1.8864907251724818,39.0
4,1,y,2,0.46153846153846156,-0.06694678963061317,39.0
4,1,preguntó:,3,0.02564102564102564,-1.5797835966168101,39.0
4,1,Qué,4,0.23076923076923078,-0.5228787452803375,39.0
4,1,gusto,5,0.0,-1.8864907251724818,39.0
4,1,tiene,6,0.7692307692307693,0.5228787452803376,39.0
4,1,la,7,0.8717948717948718,0.8325089127062364,39.0
4,1,sal,8,0.7948717948717948,0.5882717068423289,39.0
5,1,Exclamó,0,,,
5,1,enojado:,1,0.11428571428571428,-0.8893017025063104,35.0
5,1,Quién,2,0.09090909090909091,-1.0,33.0
5,1,te,3,0.0,-1.8129133566428555,33.0
5,1,dio,4,0.12121212121212122,-0.8603380065709937,33.0
5,1,vela,5,0.24242424242424243,-0.494850021680094,33.0
5,1,en,6,0.7878787878787878,0.569875307956561,33.0
5,1,este,7,0.8484848484848485,0.7481880270062005,33.0
5,1,entierro,8,0.8181818181818182,0.6532125137753438,33.0
6,1,Me,0,,,
6,1,respondió,1,0.0,-1.7708520116421442,30.0
6,1,que,2,0.7586206896551724,0.49732464080794936,29.0
6,1,a,3,0.034482758620689655,-1.4471580313422192,29.0
6,1,las,4,0.0,-1.7558748556724915,29.0
6,1,palabras,5,0.10344827586206896,-0.9378520932511556,29.0
6,1,se,6,0.5862068965517241,0.151267675330649,29.0
6,1,las,7,0.9310344827586207,1.1303337684950059,29.0
6,1,lleva,8,0.8275862068965517,0.6812412373755872,29.0
6,1,el,9,0.8620689655172413,0.795880017344075,29.0
6,1,viento,10,0.9310344827586207,1.1303337684950059,29.0
7,1,Matías,0,,,
7,1,recalcó,1,0.0,-1.8976270912904414,40.0
7,1,que,2,0.825,0.6734158998636305,40.0
7,1,cocodrilo,3,0.0,-1.8976270912904414,40.0
7,1,que,4,0.775,0.5371191843949479,40.0
7,1,se,5,0.525,0.043465693781090345,40.0
7,1,duerme,6,0.7,0.3679767852945943,40.0
7,1,es,7,0.7,0.3679767852945943,40.0
7,1,cartera,8,0.7,0.3679767852945943,40.0
8,1,Siempre,0,,,
8,1,afirma,1,0.0,-1.8388490907372554,35.0
8,1,que,2,0.6857142857142857,0.33881855655338106,35.0
8,1,como,3,0.0,-1.8388490907372554,35.0
8,1,te,4,0.05714285714285714,-1.2174839442139063,35.0
8,1,ven,5,0.5428571428571428,0.0746336182969041,35.0
8,1,te,6,0.9142857142857143,1.0280287236002434,35.0
8,1,tratan;,7,0.8285714285714286,0.6842467475153126,35.0
8,1,si,8,0.6285714285714286,0.22847932851536945,35.0
8,1,te,9,0.8,0.6020599913279625,35.0
8,1,ven,10,0.8857142857142857,0.8893017025063101,35.0
8,1,mal,11,0.8285714285714286,0.6842467475153126,35.0
8,1,te,12,0.9714285714285714,1.531478917042255,35.0
8,1,maltratan,13,0.7714285714285715,0.5282737771670438,35.0
9,1,Luciana,0,,,
9,1,volvió,1,0.0,-1.863322860120456,37.0
9,1,con,2,0.0,-1.863322860120456,37.0
9,1,una,3,0.16216216216216217,-0.713210443450629,37.0
9,1,mano,4,0.05405405405405406,-1.2430380486862944,37.0
9,1,atrás,5,0.1891891891891892,-0.6320232147054056,37.0
9,1,y,6,0.7297297297297297,0.43136376415898725,37.0
9,1,otra,7,0.6216216216216216,0.21559980033935483,37.0
