id_orac,id_orac_online,tipo_orac,palabra,palNum,pred,logit_pred,nCompletadas
1,0,3,Los,0,0.0,-1.7776740307447099,18
1,0,3,niños,1,0.0,-1.7776740307447099,18
1,0,3,disfrutaron,2,0.0,-1.7776740307447099,18
1,0,3,del,3,0.222222222222222,-0.6263814842476839,18
1,0,3,paseo,4,0.166666666666667,-0.8047189562170501,18
1,0,3,mucho,5,0.0,-1.7776740307447099,18
1,0,3,más,6,0.666666666666667,0.346573590279973,18
1,0,3,que,7,1.0,1.7776740307447099,18
1,0,3,yo.,8,0.0555555555555556,-1.41660667202811,18
2,1,3,Mucho,0,0.0,-1.7776740307447099,18
2,1,3,ruido,1,0.166666666666667,-0.8047189562170501,18
2,1,3,y,2,0.38888888888888895,-0.225992561871529,18
2,1,3,pocas,3,0.944444444444444,1.41660667202811,18
2,1,3,nueces.,4,1.0,1.7776740307447099,18
3,2,3,De,0,0.0,-1.7776740307447099,18
3,2,3,lo,1,0.0,-1.7776740307447099,18
3,2,3,que,2,0.833333333333333,0.8047189562170501,18
3,2,3,no,3,0.0,-1.7776740307447099,18
3,2,3,se,4,0.555555555555556,0.111571775657105,18
3,2,3,sabe,5,0.0555555555555556,-1.41660667202811,18
3,2,3,es,6,0.111111111111111,-1.03972077083992,18
3,2,3,mejor,7,0.166666666666667,-0.8047189562170501,18
3,2,3,callar.,8,0.0555555555555556,-1.41660667202811,18
4,3,3,Quien,0,0.0,-1.7776740307447099,18
4,3,3,mal,1,0.0555555555555556,-1.41660667202811,18
4,3,3,anda,2,0.555555555555556,0.111571775657105,18
4,3,3,mal,3,0.944444444444444,1.41660667202811,18
4,3,3,acaba.,4,0.833333333333333,0.8047189562170501,18
5,4,3,Chancho,0,0.0,-1.7776740307447099,18
5,4,3,limpio,1,0.277777777777778,-0.47775572251371795,18
5,4,3,nunca,2,0.5,0.0,18
5,4,3,engorda.,3,0.6111111111111109,0.225992561871529,18
6,5,3,La,0,0.166666666666667,-0.8047189562170501,18
6,5,3,guadaña,1,0.0,-1.7776740307447099,18
6,5,3,es,2,0.38888888888888895,-0.225992561871529,18
6,5,3,el,3,0.222222222222222,-0.6263814842476839,18
6,5,3,símbolo,4,0.111111111111111,-1.03972077083992,18
6,5,3,de,5,1.0,1.7776740307447099,18
6,5,3,la,6,1.0,1.7776740307447099,18
6,5,3,muerte.,7,0.8888888888888891,1.03972077083992,18
7,6,3,Baco,0,0.0,-1.7776740307447099,18
7,6,3,es,1,0.5,0.0,18
7,6,3,el,2,0.666666666666667,0.346573590279973,18
7,6,3,Dios,3,0.7222222222222221,0.47775572251371795,18
7,6,3,del,4,0.6111111111111109,0.225992561871529,18
7,6,3,vino,5,0.7222222222222221,0.47775572251371795,18
7,6,3,y,6,0.7222222222222221,0.47775572251371795,18
7,6,3,lo,7,0.0,-1.7776740307447099,18
7,6,3,adoran,8,0.0,-1.7776740307447099,18
7,6,3,los,9,0.6111111111111109,0.225992561871529,18
7,6,3,borrachos.,10,0.38888888888888895,-0.225992561871529,18
8,7,3,Pedro,0,0.0,-1.7776740307447099,18
8,7,3,"es,",1,0.222222222222222,-0.6263814842476839,18
8,7,3,por,2,0.0,-1.7776740307447099,18
8,7,3,el,3,0.0,-1.7776740307447099,18
8,7,3,"momento,",4,0.166666666666667,-0.8047189562170501,18
8,7,3,el,5,0.7777777777777779,0.6263814842476839,18
8,7,3,único,6,0.0555555555555556,-1.41660667202811,18
8,7,3,epiléptico,7,0.0,-1.7776740307447099,18
8,7,3,del,8,0.277777777777778,-0.47775572251371795,18
8,7,3,hospital.,9,0.222222222222222,-0.6263814842476839,18
9,8,3,A,0,0.0,-1.7776740307447099,18
9,8,3,la,1,0.166666666666667,-0.8047189562170501,18
9,8,3,isla,2,0.0,-1.7776740307447099,18
9,8,3,se,3,0.0555555555555556,-1.41660667202811,18
9,8,3,puede,4,0.0,-1.7776740307447099,18
9,8,3,llegar,5,0.7777777777777779,0.6263814842476839,18
9,8,3,solamente,6,0.0,-1.7776740307447099,18
9,8,3,por,7,0.5,0.0,18
9,8,3,avión.,8,0.0555555555555556,-1.41660667202811,18
10,9,3,Juan,0,0.0,-1.7776740307447099,18
10,9,3,se,1,0.0555555555555556,-1.41660667202811,18
10,9,3,dislocó,2,0.0,-1.7776740307447099,18
10,9,3,el,3,0.666666666666667,0.346573590279973,18
10,9,3,hombro,4,0.7777777777777779,0.6263814842476839,18
10,9,3,por,5,0.0,-1.7776740307447099,18
10,9,3,tercera,6,0.0,-1.7776740307447099,18
10,9,3,vez.,7,1.0,1.7776740307447099,18
11,10,0,Quien,0,0.111111111111111,-1.03972077083992,18
